File_Error,Corrected
Biajio,Biajio
PuriE,Puri
iDLiNa,Idlina
PURIJI,Puriji
Kichdinam,Kichdina
iuoioso,iuoioso
keSarigA,Kesariga
raMLA,Ramla
POOrisA,Purisa
pattaguyraa,Pattaguyra
Bhajij,Bhaji
uyentuhC,uyentuhC
bIRYAnIA,Biryani
joshji,Joshji
purila,Purila
arvaP,Ravao
amadaV,amadaV
Vadag,Vadaga
ainayriB,ainayriB
muddAU,Mudda
Momo,Momo
JALEBIO,Jalebi
dALO,Dalo
Dhoklaan,Dhokla
Pakodan,Pakodana
CURDMA,Curdma
parathae,Paratha
ibaluG,ibaluG
uadaV,Pav
Upmal,Upmala
cuRdlA,Curdla
pav,Pav
dALma,Dalma
pulaoka,Pulaoka
TAMARINDI,Tamarindi
Pulaor,Pulao
SAMBARE,Sambare
GULAB,Gulab
RaSAMJi,Rasamji
Bhaturer,Bhature
LAssILa,Lassila
oelohC,oelohC
Koftaia,Kofta
pattaguyraka,Pattaguyraka
Payasak,Payasaka
iasamaa,Dosama
Poorisa,Purisa
halwaka,Halwaka
keSArIGa,Kesariga
Bandegaien,Bandegai
RAME,Rame
Purir,Purira
Pakoda,Pakoda
eiuoee,eiuoee
MUDDAU,Mudda
Muddalam,Muddala
asayaP,Vadaya
Pakoda,Pakoda
ragima,Ragima
GULABMA,Gulabma
pooria,Puri
alavaR,Ravara
Idlim,Idlima
Ravajia,Ravaji
Paratha,Paratha
aidhcihK,aidhcihK
pavya,Pavya
sabzika,Sabzika
lassii,Lassi
Rasam,Rasam
Vadaam,Vadama
eicidiia,eicidiia
purika,Purika
Gulabkan,Gulabka
rasama,Rasama
uaeburei,Curde
ameragoyiluP,ameragoyiluP
BHATUREE,BHATUREE
ialab,Gulab
Tamarindn,Tamarindna
iDLiu,Idli
parathai,Paratha
chapathia,chapathia
keSarIma,Kesarima
Ragin,Ragina
UPMAGA,Upmaga
uihtapahC,uihtapahC
aamla,Aamla
amiruP,amiruP
bandegaina,Bandegaina
Chutneyk,Chutney
pAv,Pav
oalkohD,oalkohD
PULAOKA,Pulaoka
Khichdik,Kichdi
kAcHORIJI,Kachoriji
PAYASARA,Payasara
Sambaryan,Sambarya
Pattaguyrar,Pattaguyra
analasaM,Masalasa
rOtIsa,Rotisa
ayaryugattaP,ayaryugattaP
Gulabl,Gulabla
KESARIRA,Kesarira
akigaR,Ragiga
airuP,Ramu
Pesarattusan,Pesarattusa
koftaji,Koftaji
THEPLAGA,Theplaga
Pooris,Purisa
Choiioa,Choiioa
Kachorig,Kachori
KOFTAE,Kofta
MaSAlA,Masala
DHOKLAI,Dhokla
Masalaum,Masalama
Chapathi,Chapathi
ROTIU,Roti
Theplas,Thepla
BANDEGAILA,Bandegaila
Puliyogare,Puliyogare
Pulaooa,Pulao
RAVAE,Rava
aneragoyiluP,aneragoyiluP
oildI,Idli
AAMLA,Aamla
Dhokla,Dhokla
Bhajis,Bhaji
Saeierya,Dalya
edruC,edruC
Idlik,Idlika
Pav,Pav
Payasamam,Payasama
jalEBiKa,Jalebika
Pesarattuj,Pesarattu
ROTIA,Roti
Dalm,Dalma
Kichdinaa,Kichdina
Bhataiee,Vada
aihtapahC,aihtapahC
akampU,Rasamu
guLAbLA,Gulabla
agidhciK,agidhciK
khichdisa,Kichdisa
Peoauiueruui,Peoauiueruui
Dhoklayan,Dhoklaya
pulaola,Pulaola
imasaR,Upmasa
alalasaM,Masalasa
unagoR,unagoR
Chutney,Chutney
idliga,Idliga
iheaeaje,Kheer
BANDEGAIA,Bandegai
RASam,Rasam
kichdie,Kichdi
aaioeaea,aaioeaea
masalAla,Masalala
RaSaMrA,Rasamra
Sabaie,Dala
ijiagednaB,ijiagednaB
Dosag,Dosaga
uiajia,Puri
Payosasa,Payasasa
Masala,Masala
Pulao,Pulao
Rogans,Rogansa
Chapathir,Chapathir
PARATHARA,Parathara
Laoauka,Dala
Jelebae,Jelebae
theplaya,Theplaya
Raitaran,Raitara
TAMARINDKA,Tamarindka
muddao,Mudda
Aamy,Aamu
Dalm,Dalma
halwara,Halwara
UPMAKA,Upmaka
Poouiga,Upma
rOTIMA,Rotima
kichdima,Kichdima
rogano,Rogano
KICHDIE,Kichdi
Masolosi,Masolosi
Aamjia,Aamji
auliyoiaaiue,Dalo
HaLwai,Halwa
kichdiji,Kichdiji
ayitoR,Raitao
Payasain,Payasana
aoepla,Pavla
Kichdil,Kichdi
Chol,Dal
CHAPATHILA,CHAPATHILA
BHATurEJi,Bhatureji
SAmosau,Samosa
iotaai,Ram
Sambary,Sambarya
Rogeioe,Rogeioe
Ragi,Ragi
Chapathi,Chapathi
kesarii,Kesari
UPmAO,Upma
asdruC,asdruC
haLwAU,Halwa
JALEBIKA,Jalebika
tHEplagA,Theplaga
Raitalaa,Raitala
chapathie,chapathie
SAmoSaNA,Samosana
Sambaeua,Sambar
aaryugattaP,aaryugattaP
idliu,Idli
Pattaguyraun,Pattaguyra
ivaP,Rava
RASAMI,Rasami
payasaka,Payasaka
Kesarin,Kesarina
arijahB,arijahB
Idlien,Idlina
CHOLENA,Cholena
ijasomaS,ijasomaS
dhOklAa,Dhokla
pattaguyra,Pattaguyra
cURDi,Curdi
choleji,Choleji
tHepLau,Thepla
agrabmaS,agrabmaS
oioee,oioee
halwaya,Halwaya
Kofte,Koftae
oiitaa,Roti
Idliaa,Idli
adokaP,Vadaka
Dalsaa,Dalsa
Bhature,Bhature
aritoR,Raitao
Ravaia,Rava
BIRYANIE,Biryani
Poorik,Purika
adaV,Vadau
Dalra,Dalra
pulaona,Pulaona
Pavman,Pavma
BHAJIGA,Bhajiga
ealpehT,ealpehT
auuioeso,Aamo
urabmaS,Gulabma
ramo,Ramo
Aamom,Aamo
raGIRa,Ragira
lassiya,Lassiya
tamarindma,Tamarindma
ramya,Ramya
DALSA,Dalsa
RAMYA,Ramya
anavaR,Ravara
IDlInA,Idlina
CHOLEU,Chole
bhaJi,Bhaji
Halwee,Halwai
RAVALA,Ravala
Ram,Ram
amerutahB,amerutahB
Pulaogan,Pulaoga
Idlisan,Idlisa
Sabzis,Dosaji
Khiceuaka,Khiceuaka
ohuohiiu,Joshi
MasALAna,Masalana
aasoD,Aamo
rava,Rava
momola,Momola
Tamarindam,Tamarindma
parathaa,Paratha
bISIBeLeu,Bisibele
masalai,Masala
BISIBELEJI,Bisibeleji
Pa,Pav
Pakodaen,Pakodana
Masalar,Masalara
Roganon,Rogano
pATtagUYRAKA,Pattaguyraka
raitAyA,Raitaya
Ramran,Ramra
aami,Aami
Biryanij,Biryaniji
Chapathi,Chapathi
BHATUREYA,Bhatureya
Idlis,Idlisa
Dhoklas,Dhokla
Momosam,Momosa
Gulab,Gulab
ayelebisiB,ayelebisiB
Koeioki,Roti
rAGIRa,Ragira
gulabo,Gulabo
apiaaa,Pav
PAYASAGA,Payasaga
ieeibeliua,ieeibeliua
amuttaraseP,amuttaraseP
ayvaP,Ravao
Ragin,Ragina
ROTIO,Roti
Dal,Dal
Pakoda,Pakoda
Kheer,Kheer
Gulablan,Gulabla
Halwagaa,Halwaga
Kiearka,Kiearka
Raitan,Raita
asijahB,asijahB
Pavlam,Pavla
oaeasae,Dosa
Vadal,Vadala
koftao,Kofta
Pooriua,Puri
anitoR,Raitao
Puliyogare,Puliyogare
pakodaka,Pakodaka
vadau,Vada
ohekaira,ohekaira
uuauoeo,uuauoeo
Ragise,Ragisa
PAVLA,Pavla
PULIYOGARENA,Puliyogarena
Rotil,Rotila
RAVAU,Rava
aiuoa,aiuoa
kheere,kheere
Poori,Puri
iuuaou,iuuaou
airaseK,airaseK
asatfoK,asatfoK
Sambargaa,Sambarga
dosaa,Dosa
oaasi,Roti
ROTIU,Roti
momoga,Momoga
KICHDI,Kichdi
DALKA,Dalka
Rotis,Rotisa
CURDRA,Curdra
kichdila,Kichdila
akalasaM,Masalasa
Saiueuiu,Dal
PATTAGUYRAU,Pattaguyra
PAVYa,Pavya
Bandegaiy,Bandegai
Jalebin,Jalebina
Sambarsan,Sambarsa
pesarattue,Pesarattu
Chutneynaa,Chutneyna
eaeaaaee,eaeaaaee
purima,Purima
THEplAGa,Theplaga
Mudda,Mudda
paNeERA,Ragira
Biryanien,Biryanina
Dalk,Dalka
Theplaman,Theplama
ayitoR,Raitao
iraseK,iraseK
ashsoJ,Aamo
pakoDa,Pakoda
eeeae,eeeae
uasomaS,uasomaS
uigeei,Puri
THePlARA,Theplara
Bhaturekaa,Bhatureka
bandeGaIu,Bandegai
Aamkan,Aamka
sabzia,Sabzi
Dalj,Dalji
eijahB,eijahB
Kichariea,Kichariea
Rava,Rava
ahuauama,Aama
Muddaman,Muddama
Saauaoya,Dala
Bhajin,Bhaji
emaA,Ram
bhajisa,Bhajisa
saMosau,Samosa
SAMBARYA,Sambarya
auroe,Ram
oaooiji,Roti
Kosaoio,Dosa
rAgIji,Ragiji
IdlIka,Idlika
Bhatureaa,Bhature
curdu,Curdu
Uimae,Upma
akoaluP,akoaluP
dhoklao,Dhokla
amnagoR,amnagoR
PATTAGUYRAA,Pattaguyra
Gulabm,Gulabma
sabzii,Sabzi
Chetneei,Chetneei
arbaluG,arbaluG
Pakoda,Pakoda
Rotin,Rotina
iitoR,iitoR
sabziji,Sabziji
iiiuiiia,iiiuiiia
JoShI,Josh
Kichdijim,Kichdiji
pATtAguYraA,Pattaguyra
ROGANLA,Roganla
iaeura,Ram
PATTAGUYRASA,Pattaguyrasa
Momogan,Momoga
Rams,Ramsa
agibelaJ,agibelaJ
Poori,Puri
aombiie,Rami
anihtapahC,anihtapahC
PATTAGUYRAKA,Pattaguyraka
kESARIU,Kesari
iuiduia,iuiduia
Dosas,Dosasa
KesArie,Kesari
Paneernam,Paneernam
imaA,Upma
Pavr,Pavra
iiaeuaeu,iiaeuaeu
koftae,Kofta
uidhcihK,uidhcihK
RAMO,Ramo
CHUTNEYI,Chutneyi
BANDEGAINA,Bandegaina
IDLIU,Idli
Ialisu,Idliu
amiraseK,amiraseK
thePlAE,Thepla
Jalebir,Jalebira
curdu,Curdu
Roganram,Roganra
Kichdim,Kichdi
Rasamr,Rasamra
akoaluP,akoaluP
pulaoi,Pulao
Poori,Puri
ROTI,Roti
Bhaji,Bhaji
mUdDAnA,Muddana
THEPLAI,Thepla
oaluP,Dalu
SAMBARMA,Sambarma
jalebIra,Jalebira
Lassij,Lassi
Idlis,Idlisa
SaBzI,Sabzi
Puris,Purisa
aliraseK,aliraseK
eampU,Ramu
RoTIsA,Rotisa
Curui,Curdu
Bhatur,Bhatur
arildI,arildI
Samosa,Samosa
aalmi,Aami
iofiui,iofiui
samosa,Samosa
CHAPaThIu,CHAPaThIu
anuttaraseP,anuttaraseP
rotima,Rotima
ouuaaaa,ouuaaaa
TAMARINDA,Tamarinda
Paoieae,Pav
Dhoklagan,Dhoklaga
rOTINA,Rotina
pesarattuo,Pesarattu
euolesa,Dalsa
Sabzisan,Sabzisan
ayelohC,ayelohC
roTIYa,Rotiya
Vadayan,Vadaya
payasaga,Payasaga
aluttaraseP,aluttaraseP
DALSA,Dalsa
sAmbaryA,Sambarya
oogeni,oogeni
emaA,Ram
pOoRiI,Puri
Puuau,Puuau
Poorijim,Puriji
RAITAKA,Raitaka
poOriSA,Purisa
PAKODAE,Pakoda
SAMOSAO,Samosa
Roti,Roti
AaMu,Aamu
Pesarattusam,Pesarattusa
DhOkLAo,Dhokla
mUDdAu,Mudda
kiCHDIyA,Kichdiya
KICHDIE,Kichdi
pakoda,Pakoda
Raitaj,Raita
Idoioi,Idoioi
Halwure,Bhature
Pakodaen,Pakodana
tamarind,Tamarind
kIchDIma,Kichdima
pULaoGA,Pulaoga
Kesarinam,Kesarina
ealkohD,ealkohD
banDEgAiMa,Bandegaima
uadduM,Curdu
KachoriE,Kachori
ijelohC,ijelohC
Chutney,Chutney
pAYASAGA,Payasaga
Poorinan,Purina
Paiudumu,Paiudumu
uauhoii,uauhoii
CHUTNEYU,Chutneyu
amidhciK,amidhciK
ijidhciK,ijidhciK
THEPLAU,Thepla
Ragik,Ragika
Chapathil,Chapathil
rOgAnsa,Rogansa
Jaooaiea,Ram
aihtapahC,aihtapahC
kachorio,Kachori
aidhcihK,aidhcihK
Dal,Dal
Biryani,Biryani
PULAOYA,Pulaoya
PUriRA,Purira
Bhatures,Bhature
amnagoR,amnagoR
BHATUREA,Bhature
IDLISA,Idlisa
Curdmam,Curdma
Ravaa,Rava
roganna,Rogana
Bandegai,Bandegai
agmaR,Aamra
idlisa,Idlisa
SABZIE,Sabzi
eineeiaaa,eineeiaaa
Cholej,Chole
Pattaguyraum,Pattaguyra
Duisu,Duisu
gulAbKa,Gulabka
pAkoDasa,Pakodasa
Payasar,Payasara
IDLIU,Idli
Dueilu,Dalu
Joshl,Josh
SAMBARNA,Sambarna
Dosa,Dosa
akildI,akildI
Sambarm,Sambarma
patTAGuyRa,Pattaguyra
hALwaka,Halwaka
Aa,Aa
Kachorij,Kachori
ROTIGA,Rotiga
Pakodae,Pakoda
parathaga,Parathaga
lassiga,Lassiga
VADAI,Vada
Rotium,Rotima
Kachoriaa,Kachori
ROTI,Roti
aninayriB,aninayriB
curdlA,Curdla
aamga,Aamga
raMi,Rami
sambarga,Sambarga
sambare,Sambare
BIryAniU,Biryani
payasala,Payasala
Poori,Puri
Kichdi,Kichdi
pavu,Pavu
aydruC,aydruC
Diuaga,Idli
ualooya,Dalya
Raatae,Raita
Raiaei,Ram
amirooP,amirooP
arijahB,arijahB
raGie,Ragi
sAMoSa,Samosa
Muddamam,Muddama
Boaiiueo,Boaiiueo
alnagoR,alnagoR
Reganaa,Rogana
CHOLERA,Cholera
uiloa,Dalo
ragio,Ragi
Bandegaigaa,Bandegaiga
agiraseK,agiraseK
Ragiman,Ragima
Kesariy,Kesariya
chapathio,chapathio
KESARIGA,Kesariga
easie,easie
Aame,Aame
Biayaoia,Biayaoia
Pav,Pav
roTIMA,Rotima
Sabzig,Dosaji
agerutahB,agerutahB
pulaoka,Pulaoka
MOMOLA,Momola
amreenaP,amreenaP
MASALAO,Masala
kesarika,Kesarika
iooaaeuaou,iooaaeuaou
PANEERE,PANEERE
CURdi,Curdi
pAYasAI,Payasa
cuRDnA,Curdna
Theplain,Thepla
PAV,Pav
Halwaman,Halwama
pavi,Pavi
Dhokla,Dhokla
iizbaS,iizbaS
chapathia,chapathia
Bhajis,Bhaji
Kesariia,Kesari
agalkohD,agalkohD
Halwaem,Halwama
paneerna,paneerna
Chapathimaa,Chapathimaa
Joshy,Josh
pakodama,Pakodama
PAKODASA,Pakodasa
oamia,Momo
theplara,Theplara
bIRyaNiU,Biryani
alvaP,Ravao
Theplanam,Theplana
puliyogarema,Puliyogarema
urabmaS,Gulabma
bhature,Bhature
eidhciK,eidhciK
Payasa,Payasa
UPMAKA,Upmaka
Dhoklaam,Dhokla
eoeeiee,eoeeiee
auoabna,Pavna
BISIBELELA,Bisibelela
anavaR,Ravara
BHajIGa,Bhajiga
aralasaM,Masalasa
rAvAU,Rava
Pattaguyra,Pattaguyra
Aamra,Aamra
Theplalan,Theplala
aniagednaB,aniagednaB
eumiua,Rami
ijinayriB,ijinayriB
KOFTAI,Kofta
Kheeram,Kheeram
raitae,Raita
Kheersan,Kheersan
Idlien,Idlina
Sambarram,Sambarma
RAGISA,Ragisa
dhoklae,Dhokla
halwaka,Halwaka
sabZinA,Sabzina
kaCHORIi,Kachori
bisibeleya,Bisibeleya
Momoraa,Momora
Dosiua,Dosai
Theplay,Thepla
amoaluP,amoaluP
ualpehT,ualpehT
Chole,Chole
RAItaI,Raita
Kheeria,Puri
Khichdis,Kichdi
tAMarinDE,Tamarinde
GULABSA,Gulabsa
SAMBARO,Sambaro
eomoM,Momo
Dhoklajin,Dhoklaji
imaA,Upma
BISIBELEJI,Bisibeleji
KoFTama,Koftama
CURDA,Curda
ioeura,Ram
Payasakam,Payasaka
Upmak,Upmaka
eomoka,Momoka
Poorijin,Puriji
RAVAU,Rava
kesariu,Kesari
chutneye,Chutneye
PULIYOGARE,Puliyogare
Meauai,Ram
pesarattusa,Pesarattusa
Ravagam,Ravaga
Samosag,Samosaga
bhajie,Bhaji
Kofta,Kofta
Lassiem,Lassi
Khichdikan,Kichdika
amelebisiB,amelebisiB
biryaniga,Biryaniga
chutneye,Chutneye
Bisibeleman,Bisibelema
oelebisiB,oelebisiB
Poorik,Purika
Jalebi,Jalebi
kESARiGA,Kesariga
PANEERO,PANEERO
KHICHDIRA,Kichdira
Paneerl,Paneerl
Vada,Vada
RAgIe,Ragi
Masaloua,Masala
pOoriLA,Purila
Samosam,Samosama
Bhatures,Bhature
RAMNA,Ramna
chutneyo,Chutneyo
KHEERJI,KHEERJI
alidhciK,alidhciK
RAm,Ram
purina,Purina
ambaluG,Sambaru
purila,Purila
RAGILA,Ragila
gulabla,Gulabla
payasa,Payasa
JOSHGA,Joshga
IdliE,Idli
uihtapahC,uihtapahC
uaneeou,Puri
PESARATTUO,Pesarattu
pooriu,Puri
pulaoe,Pulao
Ramy,Ramya
mOmoe,Momo
DALYA,Dalya
UPMAYA,Upmaya
oalueona,Dalna
puliyogarela,Puliyogarela
uumbeio,Aame
muddaji,Muddaji
jalebiya,Jalebiya
Idli,Idli
Dal,Dal
PULAOSA,Pulaosa
Daljo,Dalji
bhatureo,Bhature
iavaR,Rava
PATTAGUYRAKA,Pattaguyraka
Kichdig,Kichdi
almaA,Aama
BANDEGAII,Bandegai
JOSHGA,Joshga
Halway,Halwaya
Dosa,Dosa
Samosan,Samosana
PulaOO,Pulao
Ramea,Rame
pOOrIA,Puri
samBaRu,Sambaru
asaryugattaP,asaryugattaP
tamarindji,Tamarindji
Koftaa,Kofta
curdla,Curdla
anreehK,anreehK
poori,Puri
MASALAGA,Masalaga
BIRYANI,Biryani
Bhaturey,Bhature
pulaoka,Pulaoka
Pulaom,Pulao
Poorim,Purima
Bisaboeeee,Bisaboeeee
CHAPATHIO,CHAPATHIO
Ravanan,Ravana
eawlaH,eawlaH
anrabmaS,anrabmaS
Payasaj,Payasaji
Dalk,Dalka
pAKOdAU,Pakoda
idlisa,Idlisa
PAVLA,Pavla
RASAmya,Rasamya
ROTIRA,Rotira
pesarattuka,Pesarattuka
JalEbInA,Jalebina
iijahB,iijahB
lassiu,Lassi
DALA,Dala
dAl,Dal
uheera,Purira
amreehK,amreehK
Vadas,Vadasa
masalai,Masala
Pesarattun,Pesarattu
iuiui,iuiui
BHATUREO,Bhature
BAnDegAiyA,Bandegaiya
RAGISA,Ragisa
HalwAYA,Halwaya
uogaama,Rama
SAMOSAO,Samosa
Masalal,Masalala
agomoM,Momoma
Ravan,Ravana
rogana,Rogana
Poorium,Purima
oesaeiia,Dosa
Masalagan,Masalaga
MUDdAGA,Muddaga
ROGANO,Rogano
Pakude,Pakude
aniagednaB,aniagednaB
easauora,Dosara
Lassinam,Lassina
curdma,Curdma
Momogan,Momoga
KOFTA,Kofta
Payaaai,Pavya
pesarattuma,Pesarattuma
IDLIRA,Idlira
Rotiaa,Roti
agatiaR,Ragira
uuuaneiea,uuuaneiea
amnagoR,amnagoR
asahtaraP,asahtaraP
DosAKa,Dosaka
Rogan,Rogan
anreehK,anreehK
amasayaP,Samosaya
VADAU,Vada
PESARATTUKA,Pesarattuka
Tamarindlam,Tamarindla
sabzia,Sabzi
Momoon,Momou
POoRiKa,Purika
Ram,Ram
Gulab,Gulab
rAGIGa,Ragiga
chapathiji,chapathiji
Puaeea,Puaeea
dhoklasa,Dhoklasa
aralpehT,aralpehT
Dhokla,Dhokla
akirooP,akirooP
idlima,Idlima
sambare,Sambare
Vadag,Vadaga
choLEYA,Choleya
Muoiao,Ram
Masalay,Masalaya
Roganram,Roganra
ravae,Rava
Theplajim,Theplaji
anatiaR,anatiaR
almaR,Aamra
pESAraTTula,Pesarattula
rotika,Rotika
asadaV,Masala
Maeauaie,Ram
masalau,Masala
Aamy,Aamu
CHUTNEYA,Chutneya
bisibeleji,Bisibeleji
Kachoriea,Kachori
uoeaiua,uoeaiua
HALWAKA,Halwaka
Ravay,Ravaya
auseu,Aame
raItarA,Raitara
Pattaguyra,Pattaguyra
masalaa,Masala
PAYaSaA,Payasa
KHICHDIE,Kichdi
pAttAguYraE,Pattaguyra
BISIBELEKA,Bisibeleka
Dhoklaa,Dhokla
Pavk,Pavka
asigaR,Ragiga
Aamem,Aame
Parago,Upmara
Raml,Ramla
curdU,Curdu
ROGAN,Rogan
sabzii,Sabzi
kheeru,kheeru
Jaleouu,Dale
irohcaK,irohcaK
PESARATTUKA,Pesarattuka
Pakodaun,Pakodana
iyentuhC,iyentuhC
amildI,amildI
Pattaguyraun,Pattaguyra
MASALAJI,Masalaji
eeewaua,Ram
uigaR,Puri
Kofta,Kofta
KheErRA,KheErRA
ragila,Ragila
asijahB,asijahB
Poori,Puri
Bhajilam,Bhajila
aeiaaguyiino,aeiaaguyiino
ardruC,ardruC
SambARjI,Sambarji
kesarima,Kesarima
oirooP,oirooP
KeSarIsa,Kesarisa
Pattaguyrak,Pattaguyra
Taipaare,Taipaare
BIRYANIGA,Biryaniga
dHoKlAma,Dhoklama
Poori,Puri
aosh,Aam
iuoasu,iuoasu
oesaeataiae,Dosaga
SAMBARGA,Sambarga
pULIYOGarEe,Puliyogare
PAVI,Pavi
lassila,Lassila
Saiosaoa,Vada
Ravaran,Ravara
maSaLAI,Masala
pavga,Pavga
ijreehK,ijreehK
halwaa,Halwa
ravaga,Ravaga
bandegaina,Bandegaina
ahearie,Kheeri
Biryanigan,Biryaniga
RaSamSa,Rasamsa
RAITARA,Raitara
Chutney,Chutney
Pattaguyrayan,Pattaguyraya
eijahB,eijahB
curdma,Curdma
alreenaP,alreenaP
bandegAIA,Bandegai
Idlik,Idlika
ayiraseK,ayiraseK
THEPLAA,Thepla
oitoR,Roti
Dosa,Dosa
GULABGA,Gulabga
aAme,Aame
Kichdi,Kichdi
anijahB,anijahB
ROTIRA,Rotira
eaooau,eaooau
PESarAtTuNA,Pesarattuna
samosaya,Samosaya
Bisibele,Bisibele
ROTIYA,Rotiya
Roti,Roti
Roganj,Roganji
Rauaiaa,Ram
pakodA,Pakoda
Choleraa,Cholera
Pooriim,Purima
oelohC,oelohC
RAITA,Raita
Payasam,Payasama
thEplai,Thepla
Masalas,Masalasa
Jalebiram,Jalebira
biryanira,Biryanira
CHOLEMA,Cholema
LASsIe,Lassi
Paratha,Paratha
Dosak,Dosaka
BANDEGAI,Bandegai
CHOLEKA,Choleka
PATTAGUYRAI,Pattaguyra
pavya,Pavya
PURIJi,Puriji
RAGijI,Ragiji
BaNDEgaIA,Bandegai
anbaluG,anbaluG
ragika,Ragika
RAITARA,Raitara
Kesariun,Kesarina
Dal,Dal
TAMARINDLA,Tamarindla
Koftal,Koftala
upmana,Upmana
parathae,Paratha
Parathag,Paratha
amigaR,Sambar
AAMI,Aami
Chapathiran,Chapathiran
Sambar,Sambar
Kichdimam,Kichdima
Luaooea,Dal
DOSAYA,Dosaya
Kichdim,Kichdi
dhokla,Dhokla
dhokLaI,Dhokla
Ram,Ram
Bhaturej,Bhature
DhoKLAMa,Dhoklama
BHaTUreya,Bhatureya
Ioliaa,Idli
Halwak,Halwaka
Biryanien,Biryanina
uildI,Idli
Kichdilaa,Kichdila
eaneoiaiiu,eaneoiaiiu
Biryaniun,Biryanina
Momoun,Momona
Rioomo,Ramo
Choeera,Dosa
SAMBARRA,Sambara
tamarindya,Tamarindya
eiia,eiia
khichdia,Kichdi
ereenaP,Purina
idliu,Idli
Pooeaguyia,Pooeaguyia
Puriea,Puri
rotIma,Rotima
eadduM,eadduM
Dalo,Dalo
Ravain,Ravana
euttaraseP,euttaraseP
oawlaH,oawlaH
Kesari,Kesari
PATTAGUYRALA,Pattaguyrala
KOFTAA,Kofta
Kesarilan,Kesarila
uihtapahC,uihtapahC
Kheerm,Kheerm
VADakA,Vadaka
DOSAI,Dosa
Bhatureua,Bhature
Josh,Josh
agomoM,Momoma
Pioai,Pioai
Rasam,Rasam
ramna,Ramna
ayawlaH,ayawlaH
Upmasam,Upmasa
Kichd,Kichd
Pakodan,Pakodana
iuttaraseP,iuttaraseP
VADarA,Vadara
Bisibeles,Bisibelesa
aasayaP,Vadaya
irabmaS,irabmaS
Aamraa,Aamra
aalebiya,Jalebiya
JOSHI,Josh
Kofta,Kofta
iucoaieo,iucoaieo
rasamsa,Rasamsa
dosAji,Dosaji
Sambarr,Sambar
ChapATHi,ChapATHi
Choleun,Chole
PAKODAI,Pakoda
khICHdiMA,Kichdima
Joshnaa,Joshna
Cholejim,Choleji
puliyogarema,Puliyogarema
Ramlam,Ramla
MUDDAE,Mudda
Paneerm,Paneerm
Jieama,Upma
Muiiaa,Ram
Simesula,Simesula
BANDEGAIA,Bandegai
AAMRA,Aamra
PulIyogAreSA,Puliyogaresa
Dhoklar,Dhokla
RAMLA,Ramla
SamBare,Sambare
pakodama,Pakodama
purina,Purina
AamLa,Aamla
halwama,Halwama
ChapAtHiRa,ChapAtHiRa
Bandegail,Bandegai
KESARIO,Kesari
ayadokaP,ayadokaP
Puliyogare,Puliyogare
akidhciK,akidhciK
Masalau,Masala
Poorik,Purika
akdruC,akdruC
Kachorik,Kachori
TAMARINDE,Tamarinde
Vadakan,Vadaka
